"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"JaMychal Green","DEN","PF,C","417","342","44","23","30",".457",".765","68","66","1,179","55"
"DeAndre' Bembry","TOR","SF,PF,SG","415","236","125","26","77",".459",".610","30","64","1,316","87"
"James Ennis III","ORL","SG,SF","415","207","54","21","38",".441",".767","55","66","1,292","45"
"Jahlil Okafor","DET","C","406","226","46","36","13",".587",".657","1","62","831","50"
"Nerlens Noel","NYK","PF,C","405","309","53","89","61",".603",".720","0","65","1,162","62"
"Royce O'Neale","UTH","SF","400","318","142","25","53",".452",".757","74","68","1,727","60"
"Cory Joseph","SAC","PG,SG","387","175","210","16","52",".424",".790","38","69","1,511","56"
"Jordan McLaughlin","MIN","PG","385","84","212","7","62",".480",".689","49","62","1,073","55"
"Jakob Poeltl","SAS","C","381","336","94","76","33",".643",".511","0","67","1,160","49"
"Marquese Chriss","GSW","PF,C","372","251","72","42","31",".501",".744","15","62","906","58"
"Mohamed Bamba","ORL","C","367","315","48","88","23",".467",".635","41","59","978","50"
"Omari Spellman","NYK","PF,C","366","228","49","27","30",".441",".773","42","62","975","48"
"Michael Carter-Williams","ORL","PG,SG","364","171","132","28","55",".415",".815","24","55","957","61"
"Emmanuel Mudiay","UTH","PG","356","98","106","9","20",".452",".768","28","42","717","62"
"Mike Muscala","OKC","PF,C","351","181","56","24","17",".402",".831","74","64","933","32"
"Isaiah Stewart","DET","PF,C","351","248","37","45","27",".526",".729","4","65","1,086","67"
"Dennis Smith Jr.","NYK","PG,SG","338","89","130","11","33",".403",".608","30","40","805","76"
"Noah Vonleh","CHI","PF,C","329","302","74","24","30",".489",".721","24","61","1,026","48"
"Bismack Biyombo","CHA","PF,C","321","283","43","47","10",".561",".619","0","66","954","47"
"JaKarr Sampson","IND","SG,SF,PF","298","159","28","22","23",".566",".686","9","62","834","22"
"Andre Iguodala","MIA","SG,SF","279","185","141","39","40",".478",".536","36","62","1,156","44"
"Kevon Looney","GSW","PF,C","269","223","67","25","37",".525",".663","0","48","810","36"
"Ed Davis","MIN","PF,C","253","384","36","29","26",".596",".613","0","66","914","40"
"Tacko Fall","BOS","C","245","160","13","32","10",".679",".512","1","52","438","39"
"Daniel Gafford","CHI","C,PF","244","132","27","68","18",".603",".532","0","58","810","35"
"Bruno Fernando","ATL","C","243","201","50","16","18",".543",".578","6","61","719","40"
"Rodions Kurucs","BKN","SF,PF","242","119","32","11","19",".459",".730","30","42","625","38"
"Gorgui Dieng","MEM","PF,C","236","178","39","27","25",".493",".787","18","45","582","32"
"Damian Jones","PHO","C","225","146","33","28","20",".701",".715","1","57","710","21"
"Robert Williams III","BOS","PF,C","223","218","39","64","33",".711",".615","0","46","697","35"
"Goga Bitadze","IND","C","214","132","29","44","10",".460",".734","10","65","592","33"
"Luke Kornet","CHI","PF,C","195","74","31","24","14",".405",".778","37","34","493","13"
"Vincent Poirier","PHI","C","178","176","34","34","9",".493",".779","1","43","550","34"
"Khem Birch","ORL","PF,C","150","145","29","17","14",".593",".671","0","43","591","17"
"Cristiano Felicio","CHI","C","132","130","24","2","11",".617",".709","0","41","483","21"
"Kyle O'Quinn","PHI","PF,C","132","124","49","25","7",".527",".699","3","41","355","28"
"Chris Silva","MIA","SG,PF","95","92","20","19","6",".573",".691","0","40","260","25"
""
""
